;user_id;item_id
0;176549;[9728, 13865, 7626, 12173, 1785, 11310, 10440, 14317, 4436, 3734]
1;699317;[13545, 7571, 3182, 16166, 13243, 16270, 7582, 13159, 4718, 14942]
2;1016458;[12356, 1418, 7829, 13849, 6162, 9728, 13865, 10440, 7102, 10464]
3;896751;[3606, 15646, 14703, 12366, 9159, 6626, 8447, 14916, 1910, 7950]
4;141674;[7571, 11756, 16166, 6033, 3182, 5411, 16270, 10761, 10214, 7582]
5;205710;[7626, 12173, 7571, 16166, 13018, 10942, 11310, 12841, 7210, 3182]
6;163922;[7571, 3182, 16166, 13545, 2954, 16270, 13018, 13243, 4718, 7582]
7;787115;[9728, 1844, 9169, 10440, 15297, 142, 14703, 13865, 657, 4151]
8;73446;[9728, 13865, 3734, 10440, 7571, 15297, 4151, 4880, 13018, 142]
9;750995;[10440, 13865, 9728, 12995, 4880, 14703, 142, 9996, 4151, 8636]
10;1072552;[9728, 1785, 1287, 2237, 5693, 15464, 11754, 12820, 10073, 10440]
11;94135;[9728, 11754, 5693, 1785, 7626, 12173, 1287, 15464, 5754, 10073]
12;120361;[15297, 4151, 11778, 142, 8373, 3935, 5658, 6192, 12770, 7476]
13;858651;[10214, 11664, 13545, 14942, 13243, 15084, 13373, 741, 11985, 599]
14;802134;[15297, 4151, 14470, 101, 15531, 4716, 12463, 1916, 12770, 15096]
15;570761;[947, 8346, 2616, 16228, 9996, 6382, 3773, 2657, 15399, 4880]
16;614119;[9728, 13865, 10440, 1844, 657, 9169, 142, 7102, 15297, 12995]
17;538575;[12085, 3400, 15919, 1791, 5722, 12080, 11332, 7115, 15051, 5709]
18;375013;[12173, 14317, 7626, 7210, 12841, 5693, 3095, 10942, 1785, 8437]
19;302831;[15297, 10440, 4880, 4151, 142, 13865, 9996, 9728, 8636, 2657]
20;305715;[14961, 657, 12820, 14580, 14359, 11322, 9728, 16361, 14242, 10464]
21;1003443;[13865, 3734, 9728, 15297, 4151, 10440, 4880, 7571, 142, 2657]
22;387774;[10440, 15297, 13865, 4880, 4151, 142, 9728, 3734, 9996, 2657]
23;1058718;[7626, 12173, 9728, 14317, 13865, 10942, 12841, 1785, 13018, 7210]
24;626036;[15297, 4151, 142, 10440, 9728, 1844, 14470, 101, 13865, 4880]
25;141072;[14317, 16361, 12173, 7210, 7626, 9728, 11348, 12841, 13018, 14264]
26;179618;[15531, 14470, 15096, 101, 12463, 14684, 4716, 13058, 1916, 9070]
27;648287;[13865, 9728, 10440, 3734, 4880, 12995, 2657, 15297, 4457, 4151]
28;1014340;[16166, 3182, 7571, 10761, 5411, 7582, 11749, 13243, 11985, 13159]
29;155415;[7571, 16166, 3734, 13018, 3182, 15297, 4151, 13865, 13915, 9728]
30;450102;[8346, 9996, 947, 9254, 9550, 4880, 10440, 142, 11640, 2657]
31;969875;[7626, 12173, 14317, 10942, 7210, 9728, 12841, 13018, 1785, 13865]
32;1013255;[9728, 10440, 13865, 15297, 142, 1844, 101, 14470, 4151, 1916]
33;669687;[9728, 10440, 15297, 13865, 4151, 1844, 142, 3734, 4880, 8636]
34;14246;[9728, 101, 15297, 14470, 1916, 1844, 12463, 10440, 13865, 15531]
35;946792;[9728, 7571, 13865, 15297, 3734, 4151, 10440, 13018, 142, 16166]
36;84682;[9728, 13865, 10440, 3734, 15297, 4151, 142, 4880, 12995, 1844]
37;1074210;[7571, 16166, 3182, 13018, 3734, 9728, 13915, 5411, 7582, 13865]
38;401866;[13243, 11985, 13545, 16166, 14942, 3182, 5411, 14153, 7582, 10761]
39;779186;[15297, 4151, 9728, 4880, 13865, 142, 10440, 3734, 1844, 8636]
40;192321;[9728, 13865, 10440, 12995, 4457, 3734, 15464, 4880, 1844, 14741]
41;899105;[4880, 3734, 15297, 13865, 4151, 10440, 2657, 142, 9728, 9996]
42;963902;[10440, 13865, 9728, 4880, 142, 15297, 4151, 9996, 3734, 12995]
43;105619;[12820, 2237, 14961, 10489, 13475, 3606, 2924, 10551, 5695, 11322]
44;37298;[9728, 13865, 10440, 15464, 9169, 14741, 4457, 1844, 3734, 657]
45;271492;[10440, 13865, 142, 4880, 15297, 4151, 9728, 9996, 3734, 2657]
46;306633;[7571, 16166, 3182, 13018, 10761, 5411, 11749, 7582, 13243, 16270]
47;307436;[9728, 7626, 12173, 13018, 14317, 13865, 7571, 11310, 10942, 3734]
48;143940;[15297, 4151, 3734, 13865, 4880, 10440, 142, 9728, 2657, 7571]
49;174845;[13865, 10440, 9728, 3734, 4880, 15297, 4151, 2657, 142, 12995]
50;969866;[1418, 12356, 13849, 3693, 13223, 14814, 6162, 3475, 10077, 10464]
51;894826;[9728, 1844, 10440, 142, 14703, 15297, 13865, 4151, 8636, 14470]
52;778739;[15297, 4151, 11778, 142, 6192, 4880, 5658, 12770, 3734, 4716]
53;1045343;[15297, 7571, 4151, 9728, 3734, 13865, 10440, 142, 4880, 13018]
54;384509;[10440, 15297, 142, 9728, 13865, 14431, 7829, 10077, 4151, 3734]
55;991792;[9728, 13865, 7571, 3734, 10440, 15297, 13018, 4151, 16166, 4880]
56;546525;[10755, 6033, 14814, 7571, 9728, 13018, 4696, 15422, 1418, 12356]
57;798688;[6626, 14238, 1910, 657, 10551, 15646, 429, 9169, 14916, 14703]
58;53744;[9728, 12995, 13865, 10440, 7102, 2237, 4457, 12820, 12324, 7829]
59;1032231;[9728, 9169, 657, 13865, 10464, 10440, 10077, 14431, 1844, 288]
60;522858;[9728, 10440, 9169, 14431, 13865, 142, 10077, 657, 7829, 15297]
61;942926;[12356, 13849, 8581, 13223, 6162, 7343, 14814, 372, 1418, 4689]
62;845119;[10440, 13865, 9728, 4880, 3734, 12995, 15297, 142, 4151, 2657]
63;987305;[13865, 10440, 9728, 7829, 7102, 12356, 1418, 12995, 4457, 13849]
64;1059779;[7571, 9728, 16166, 13865, 3734, 13018, 3182, 10440, 16270, 5411]
65;853385;[9728, 13865, 10440, 3734, 14317, 4457, 7829, 7102, 12995, 12173]
66;186585;[7343, 15171, 8581, 4946, 7597, 7269, 13262, 11188, 4209, 14500]
67;638871;[15297, 4151, 142, 4880, 5658, 8636, 11778, 13865, 3734, 10440]
68;711018;[15297, 4151, 4880, 142, 5658, 9996, 10440, 8636, 2657, 13865]
